serial_num,process
10001,clean
10004,clean
10007,clean
10008,clean
10010,clean
10011,clean
10012,clean
10013,clean
10015,clean
10016,clean
10017,clean
10018,clean
10019,clean
10021,clean
10022,clean
10024,clean
10025,clean
10028,clean
10029,clean
10030,clean
10031,clean
10033,clean
10034,clean
10035,clean
10036,clean
10037,clean
10038,clean
10039,clean
10040,clean
10042,clean
10044,clean
10046,clean
10049,clean
10051,clean
10052,clean
10053,clean
10054,clean
10057,clean
10060,clean
10061,clean
10062,clean
10063,clean
10064,clean
10065,clean
10067,clean
10068,clean
10070,clean
10071,clean
10075,clean
10077,clean
10080,clean
10081,clean
10082,clean
10085,clean
10086,clean
10087,clean
10088,clean
10089,clean
10091,clean
10092,clean
10093,clean
10094,clean
10095,clean
10096,clean
10099,clean
10100,clean
10101,clean
10102,clean
10105,clean
10106,clean
10107,clean
10108,clean
10109,clean
10110,clean
10112,clean
10113,clean
10114,clean
10115,clean
10116,clean
10117,clean
10122,clean
10125,clean
10127,clean
10130,clean
10131,clean
10132,clean
10133,clean
10134,clean
10137,clean
10138,clean
10139,clean
10140,clean
10141,clean
10143,clean
10144,clean
10145,clean
10146,clean
10147,clean
10148,clean
10149,clean
10150,clean
10152,clean
10153,clean
10155,clean
10156,clean
10158,clean
10160,clean
10161,clean
10165,clean
10168,clean
10170,clean
10172,clean
10173,clean
10174,clean
10175,clean
10177,clean
10178,clean
10179,clean
10180,clean
10183,clean
10184,clean
10185,clean
10187,clean
10189,clean
10193,clean
10194,clean
10196,clean
10197,clean
10199,clean
10200,clean
10202,clean
10204,clean
10205,clean
10207,clean
10209,clean
10211,clean
10213,clean
10215,clean
10217,clean
10218,clean
10222,clean
10223,clean
10224,clean
10225,clean
10226,clean
10228,clean
10230,clean
10231,clean
10232,clean
10234,clean
10235,clean
10237,clean
10238,clean
10239,clean
10241,clean
10242,clean
10243,clean
10244,clean
10246,clean
10247,clean
10248,clean
10249,clean
10250,clean
10251,clean
10253,clean
10255,clean
10256,clean
10257,clean
10258,clean
10259,clean
10260,clean
10261,clean
10265,clean
10267,clean
10268,clean
10269,clean
10272,clean
10273,clean
10277,clean
10280,clean
10281,clean
10282,clean
10284,clean
10285,clean
10286,clean
10288,clean
10289,clean
10291,clean
10293,clean
10294,clean
10295,clean
10296,clean
10297,clean
10299,clean
10300,clean
10302,clean
10304,clean
10305,clean
10306,clean
10307,clean
10308,clean
10309,clean
10310,clean
10311,clean
10313,clean
10315,clean
10318,clean
10319,clean
10320,clean
10321,clean
10323,clean
10324,clean
10326,clean
10328,clean
10330,clean
10331,clean
10332,clean
10333,clean
10334,clean
10336,clean
10338,clean
10340,clean
10341,clean
10342,clean
10344,clean
10345,clean
10346,clean
10349,clean
10351,clean
10352,clean
10353,clean
10356,clean
10360,clean
10361,clean
10362,clean
10364,clean
10365,clean
10366,clean
10367,clean
10368,clean
10371,clean
10372,clean
10373,clean
10374,clean
10376,clean
10377,clean
10378,clean
10382,clean
10383,clean
10384,clean
10385,clean
10386,clean
10387,clean
10389,clean
10390,clean
10391,clean
10392,clean
10393,clean
10394,clean
10395,clean
10396,clean
10400,clean
10401,clean
10403,clean
10405,clean
10408,clean
10409,clean
10411,clean
10412,clean
10413,clean
10414,clean
10415,clean
10418,clean
10420,clean
10423,clean
10424,clean
10426,clean
10427,clean
10428,clean
10430,clean
10432,clean
10434,clean
10437,clean
10438,clean
10439,clean
10441,clean
10442,clean
10444,clean
10449,clean
10450,clean
10451,clean
10452,clean
10453,clean
10456,clean
10458,clean
10459,clean
10460,clean
10461,clean
10462,clean
10463,clean
10464,clean
10465,clean
10467,clean
10468,clean
10469,clean
10470,clean
10471,clean
10474,clean
10476,clean
10479,clean
10480,clean
10481,clean
10482,clean
10483,clean
10484,clean
10486,clean
10487,clean
10489,clean
10492,clean
10493,clean
10495,clean
10497,clean
10498,clean
10501,clean
10502,clean
10503,clean
10504,clean
10505,clean
10506,clean
10508,clean
10509,clean
10513,clean
10514,clean
10516,clean
10517,clean
10519,clean
10521,clean
10522,clean
10524,clean
10525,clean
10526,clean
10528,clean
10530,clean
10531,clean
10533,clean
10535,clean
10536,clean
10537,clean
10538,clean
10539,clean
10541,clean
10543,clean
10544,clean
10545,clean
10548,clean
10550,clean
10552,clean
10555,clean
10556,clean
10557,clean
10560,clean
10561,clean
10562,clean
10563,clean
10564,clean
10565,clean
10566,clean
10567,clean
10571,clean
10572,clean
10577,clean
10579,clean
10581,clean
10582,clean
10585,clean
10586,clean
10589,clean
10590,clean
10591,clean
10593,clean
10594,clean
10595,clean
10596,clean
10599,clean
10600,clean
10603,clean
10605,clean
10606,clean
10607,clean
10608,clean
10613,clean
10614,clean
10616,clean
10617,clean
10618,clean
10620,clean
10621,clean
10622,clean
10623,clean
10626,clean
10627,clean
10628,clean
10629,clean
10631,clean
10632,clean
10634,clean
10637,clean
10638,clean
10640,clean
10641,clean
10644,clean
10645,clean
10648,clean
10651,clean
10653,clean
10654,clean
10657,clean
10659,clean
10660,clean
10661,clean
10662,clean
10663,clean
10664,clean
10666,clean
10667,clean
10672,clean
10674,clean
10676,clean
10677,clean
10680,clean
10681,clean
10682,clean
10684,clean
10685,clean
10686,clean
10688,clean
10690,clean
10692,clean
10693,clean
10695,clean
10698,clean
10701,clean
10702,clean
10703,clean
10704,clean
10705,clean
10706,clean
10707,clean
10711,clean
10713,clean
10714,clean
10715,clean
10716,clean
10717,clean
10719,clean
10720,clean
10721,clean
10722,clean
10724,clean
10725,clean
10726,clean
10727,clean
10728,clean
10729,clean
10731,clean
10732,clean
10733,clean
10734,clean
10736,clean
10738,clean
10739,clean
10740,clean
10741,clean
10742,clean
10744,clean
10745,clean
10747,clean
10748,clean
10749,clean
10750,clean
10751,clean
10752,clean
10753,clean
10754,clean
10755,clean
10757,clean
10759,clean
10761,clean
10764,clean
10768,clean
10770,clean
10771,clean
10774,clean
10775,clean
10776,clean
10778,clean
10779,clean
10781,clean
10782,clean
10783,clean
10784,clean
10787,clean
10788,clean
10790,clean
10791,clean
10793,clean
10795,clean
10797,clean
10798,clean
10800,clean
10801,clean
10802,clean
10803,clean
10806,clean
10807,clean
10809,clean
10810,clean
10811,clean
10812,clean
10815,clean
10816,clean
10818,clean
10819,clean
10820,clean
10821,clean
10822,clean
10823,clean
