serial_num,process
10000,cut
10002,cut
10005,cut
10009,cut
10010,cut
10011,cut
10013,cut
10014,cut
10015,cut
10016,cut
10017,cut
10019,cut
10021,cut
10023,cut
10024,cut
10026,cut
10027,cut
10028,cut
10029,cut
10030,cut
10033,cut
10034,cut
10035,cut
10036,cut
10037,cut
10038,cut
10039,cut
10040,cut
10043,cut
10044,cut
10045,cut
10046,cut
10048,cut
10049,cut
10050,cut
10051,cut
10052,cut
10053,cut
10054,cut
10055,cut
10056,cut
10058,cut
10060,cut
10061,cut
10063,cut
10064,cut
10066,cut
10067,cut
10068,cut
10069,cut
10070,cut
10071,cut
10074,cut
10075,cut
10077,cut
10079,cut
10081,cut
10082,cut
10084,cut
10085,cut
10088,cut
10089,cut
10090,cut
10091,cut
10093,cut
10094,cut
10096,cut
10098,cut
10099,cut
10100,cut
10102,cut
10103,cut
10104,cut
10105,cut
10106,cut
10108,cut
10109,cut
10110,cut
10112,cut
10113,cut
10114,cut
10115,cut
10117,cut
10118,cut
10122,cut
10124,cut
10125,cut
10126,cut
10127,cut
10129,cut
10130,cut
10131,cut
10133,cut
10135,cut
10136,cut
10137,cut
10140,cut
10141,cut
10142,cut
10144,cut
10148,cut
10149,cut
10150,cut
10151,cut
10152,cut
10155,cut
10156,cut
10158,cut
10160,cut
10161,cut
10166,cut
10167,cut
10169,cut
10170,cut
10171,cut
10172,cut
10174,cut
10175,cut
10180,cut
10181,cut
10182,cut
10183,cut
10184,cut
10186,cut
10187,cut
10188,cut
10189,cut
10191,cut
10192,cut
10194,cut
10195,cut
10196,cut
10197,cut
10198,cut
10200,cut
10201,cut
10202,cut
10203,cut
10204,cut
10205,cut
10207,cut
10209,cut
10210,cut
10213,cut
10214,cut
10215,cut
10216,cut
10217,cut
10218,cut
10219,cut
10220,cut
10221,cut
10223,cut
10224,cut
10227,cut
10228,cut
10229,cut
10231,cut
10232,cut
10234,cut
10235,cut
10238,cut
10239,cut
10240,cut
10241,cut
10243,cut
10245,cut
10247,cut
10248,cut
10249,cut
10250,cut
10251,cut
10252,cut
10253,cut
10254,cut
10256,cut
10258,cut
10259,cut
10260,cut
10261,cut
10266,cut
10267,cut
10268,cut
10270,cut
10271,cut
10272,cut
10274,cut
10275,cut
10276,cut
10277,cut
10278,cut
10282,cut
10283,cut
10285,cut
10286,cut
10288,cut
10290,cut
10291,cut
10292,cut
10293,cut
10295,cut
10296,cut
10300,cut
10301,cut
10302,cut
10304,cut
10306,cut
10307,cut
10308,cut
10310,cut
10313,cut
10316,cut
10318,cut
10320,cut
10321,cut
10322,cut
10326,cut
10327,cut
10329,cut
10330,cut
10331,cut
10332,cut
10333,cut
10334,cut
10337,cut
10338,cut
10341,cut
10342,cut
10343,cut
10344,cut
10345,cut
10347,cut
10348,cut
10349,cut
10350,cut
10351,cut
10352,cut
10353,cut
10355,cut
10358,cut
10359,cut
10360,cut
10361,cut
10363,cut
10364,cut
10366,cut
10368,cut
10369,cut
10371,cut
10372,cut
10374,cut
10376,cut
10379,cut
10380,cut
10382,cut
10383,cut
10384,cut
10385,cut
10386,cut
10387,cut
10392,cut
10394,cut
10398,cut
10399,cut
10400,cut
10402,cut
10403,cut
10404,cut
10405,cut
10406,cut
10407,cut
10408,cut
10410,cut
10412,cut
10413,cut
10415,cut
10416,cut
10417,cut
10418,cut
10420,cut
10421,cut
10422,cut
10423,cut
10425,cut
10427,cut
10431,cut
10432,cut
10433,cut
10434,cut
10436,cut
10437,cut
10440,cut
10441,cut
10442,cut
10444,cut
10445,cut
10448,cut
10450,cut
10451,cut
10452,cut
10453,cut
10455,cut
10457,cut
10458,cut
10459,cut
10460,cut
10461,cut
10462,cut
10464,cut
10465,cut
10467,cut
10469,cut
10471,cut
10472,cut
10473,cut
10474,cut
10475,cut
10476,cut
10477,cut
10478,cut
10480,cut
10481,cut
10482,cut
10485,cut
10486,cut
10488,cut
10490,cut
10493,cut
10496,cut
10497,cut
10498,cut
10500,cut
10501,cut
10503,cut
10504,cut
10505,cut
10507,cut
10508,cut
10510,cut
10511,cut
10513,cut
10514,cut
10515,cut
10517,cut
10519,cut
10520,cut
10521,cut
10522,cut
10523,cut
10525,cut
10526,cut
10527,cut
10529,cut
10531,cut
10532,cut
10534,cut
10535,cut
10536,cut
10537,cut
10539,cut
10540,cut
10541,cut
10543,cut
10544,cut
10547,cut
10549,cut
10553,cut
10554,cut
10555,cut
10556,cut
10557,cut
10559,cut
10560,cut
10561,cut
10562,cut
10566,cut
10567,cut
10568,cut
10569,cut
10570,cut
10571,cut
10575,cut
10576,cut
10577,cut
10582,cut
10583,cut
10584,cut
10585,cut
10586,cut
10587,cut
10588,cut
10589,cut
10593,cut
10594,cut
10595,cut
10596,cut
10602,cut
10603,cut
10604,cut
10605,cut
10606,cut
10608,cut
10611,cut
10613,cut
10614,cut
10615,cut
10616,cut
10619,cut
10621,cut
10622,cut
10627,cut
10628,cut
10629,cut
10631,cut
10633,cut
10635,cut
10638,cut
10639,cut
10645,cut
10646,cut
10650,cut
10651,cut
10652,cut
10653,cut
10654,cut
10659,cut
10662,cut
10664,cut
10665,cut
10666,cut
10667,cut
10668,cut
10669,cut
